,Name,College_or_above_percentage,Some_college_percentage,Highschool_percentage,No_highschool_percentage
198,"Woodruff County, Arkansas",15.1,24.1,43.3,17.4
199,"Yell County, Arkansas",13.3,25.4,39.5,21.7
200,"California, California",34.7,28.8,20.4,16.1
201,"Alameda County, California",48.7,23.2,17.0,11.2
202,"Alpine County, California",38.4,28.2,28.7,4.7
203,"Amador County, California",18.1,43.1,30.0,8.8
204,"Butte County, California",28.3,38.8,22.6,10.3
205,"Calaveras County, California",19.8,40.8,29.0,10.3
206,"Colusa County, California",14.9,29.5,28.5,27.2
207,"Contra Costa County, California",43.3,29.3,17.2,10.1
208,"Del Norte County, California",15.4,32.6,31.7,20.3
209,"El Dorado County, California",35.2,37.7,21.1,6.0
210,"Fresno County, California",22.0,32.6,22.6,22.7
211,"Glenn County, California",14.4,32.5,27.5,25.5
212,"Humboldt County, California",30.9,36.7,23.0,9.4
213,"Imperial County, California",15.4,29.3,25.5,29.8
214,"Inyo County, California",26.4,33.3,30.9,9.5
215,"Kern County, California",17.1,30.7,27.5,24.7
216,"Kings County, California",15.0,32.7,26.3,26.0
217,"Lake County, California",16.7,39.4,30.1,13.8
218,"Lassen County, California",12.7,35.9,31.9,19.5
219,"Los Angeles County, California",33.5,25.9,20.4,20.2
220,"Madera County, California",15.2,33.4,23.3,28.0
221,"Marin County, California",60.2,23.2,10.3,6.4
222,"Mariposa County, California",26.9,41.4,22.6,9.1
223,"Mendocino County, California",24.0,36.4,26.3,13.3
224,"Merced County, California",14.1,30.2,25.5,30.3
225,"Modoc County, California",18.2,34.7,31.8,15.3
226,"Mono County, California",32.1,34.1,21.9,11.8
227,"Monterey County, California",26.2,26.7,20.1,27.0
228,"Napa County, California",37.2,30.8,17.5,14.5
229,"Nevada County, California",37.6,38.7,18.3,5.4
230,"Orange County, California",41.2,27.6,17.2,14.0
231,"Placer County, California",40.8,36.8,17.6,4.9
232,"Plumas County, California",24.5,46.1,24.1,5.3
233,"Riverside County, California",23.2,32.8,26.7,17.2
234,"Sacramento County, California",31.4,34.4,22.1,12.1
235,"San Benito County, California",20.1,36.0,25.8,18.1
236,"San Bernardino County, California",21.4,32.9,26.4,19.3
237,"San Diego County, California",39.5,30.4,18.2,12.0
238,"San Francisco County, California",58.8,18.2,11.6,11.4
239,"San Joaquin County, California",19.2,32.5,28.4,19.9
240,"San Luis Obispo County, California",36.1,35.8,19.9,8.2
241,"San Mateo County, California",52.1,23.5,14.9,9.6
242,"Santa Barbara County, California",35.0,29.9,16.9,18.2
243,"Santa Clara County, California",53.5,21.3,14.0,11.3
244,"Santa Cruz County, California",41.8,30.9,15.6,11.7
245,"Shasta County, California",22.1,43.4,25.6,8.9
246,"Sierra County, California",19.4,46.4,26.8,7.5
247,"Siskiyou County, California",22.1,42.1,25.7,10.1
248,"Solano County, California",27.1,38.0,23.6,11.3
249,"Sonoma County, California",36.4,34.5,18.2,10.9
250,"Stanislaus County, California",17.7,32.2,29.8,20.2
251,"Sutter County, California",20.0,36.8,23.0,20.2
252,"Tehama County, California",17.4,39.9,28.6,14.1
253,"Trinity County, California",19.2,37.4,36.4,7.0
254,"Tulare County, California",14.5,30.9,26.5,28.1
255,"Tuolumne County, California",22.3,43.0,25.7,9.0
256,"Ventura County, California",33.9,32.3,19.5,14.4
257,"Yolo County, California",42.6,27.2,17.6,12.5
258,"Yuba County, California",18.0,40.4,23.8,17.8
259,"Colorado, Colorado",41.6,29.3,21.2,7.9
260,"Adams County, Colorado",25.2,30.6,29.0,15.3
261,"Alamosa County, Colorado",24.5,34.5,28.2,12.8
262,"Arapahoe County, Colorado",43.4,28.5,20.4,7.7
263,"Archuleta County, Colorado",39.7,33.2,21.2,5.9
264,"Baca County, Colorado",21.9,34.1,29.9,14.0
265,"Bent County, Colorado",15.1,23.9,49.4,11.6
266,"Boulder County, Colorado",63.0,21.2,11.3,4.5
267,"Broomfield County, Colorado",56.1,26.9,13.9,3.2
268,"Chaffee County, Colorado",35.5,32.0,26.6,5.9
269,"Cheyenne County, Colorado",23.5,43.4,27.9,5.3
270,"Clear Creek County, Colorado",50.9,26.3,20.3,2.5
271,"Conejos County, Colorado",25.5,31.3,31.0,12.3
272,"Costilla County, Colorado",23.9,35.1,25.9,15.2
273,"Crowley County, Colorado",8.7,29.2,49.6,12.6
274,"Custer County, Colorado",34.1,40.1,22.2,3.6
275,"Delta County, Colorado",21.7,31.5,36.5,10.2
276,"Denver County, Colorado",50.3,21.7,17.2,10.9
277,"Dolores County, Colorado",26.1,32.5,36.9,4.5
278,"Douglas County, Colorado",58.6,27.0,12.3,2.0
279,"Eagle County, Colorado",50.5,26.1,14.3,9.1
280,"Elbert County, Colorado",34.1,37.5,24.8,3.6
281,"El Paso County, Colorado",38.7,35.8,20.0,5.5
282,"Fremont County, Colorado",18.5,32.1,38.7,10.7
283,"Garfield County, Colorado",32.0,30.9,26.2,11.0
284,"Gilpin County, Colorado",44.3,34.8,15.2,5.7
285,"Grand County, Colorado",40.1,28.0,26.9,5.0
286,"Gunnison County, Colorado",57.5,22.5,17.7,2.4
287,"Hinsdale County, Colorado",43.7,35.8,16.4,4.1
288,"Huerfano County, Colorado",23.6,42.1,27.0,7.3
289,"Jackson County, Colorado",31.4,35.8,21.0,11.8
290,"Jefferson County, Colorado",46.4,28.5,19.9,5.2
291,"Kiowa County, Colorado",21.1,45.5,30.5,2.8
292,"Kit Carson County, Colorado",17.6,39.1,33.2,10.1
293,"Lake County, Colorado",40.3,25.4,23.0,11.3
294,"La Plata County, Colorado",44.0,30.9,21.0,4.0
295,"Larimer County, Colorado",47.7,29.9,18.6,3.8
296,"Las Animas County, Colorado",20.0,40.7,29.8,9.5
297,"Lincoln County, Colorado",12.6,22.4,55.0,10.0
298,"Logan County, Colorado",20.6,33.5,36.3,9.5
299,"Mesa County, Colorado",27.4,34.9,28.3,9.5
300,"Mineral County, Colorado",54.1,27.0,16.9,2.0
301,"Moffat County, Colorado",21.5,30.2,38.3,10.1
302,"Montezuma County, Colorado",29.2,30.6,30.8,9.5
303,"Montrose County, Colorado",24.6,32.1,32.3,11.1
304,"Morgan County, Colorado",17.3,31.1,31.0,20.6
305,"Otero County, Colorado",20.5,36.9,31.7,10.9
306,"Ouray County, Colorado",49.1,35.9,13.5,1.5
307,"Park County, Colorado",32.6,38.5,26.7,2.3
308,"Phillips County, Colorado",25.5,32.0,30.3,12.3
309,"Pitkin County, Colorado",61.2,21.2,14.0,3.6
310,"Prowers County, Colorado",18.6,36.8,25.3,19.3
311,"Pueblo County, Colorado",22.9,37.8,29.7,9.7
312,"Rio Blanco County, Colorado",24.8,36.2,30.9,8.1
313,"Rio Grande County, Colorado",26.0,31.9,29.7,12.4
314,"Routt County, Colorado",49.3,28.7,17.4,4.6
315,"Saguache County, Colorado",22.4,32.0,31.4,14.2
316,"San Juan County, Colorado",33.5,31.5,30.9,4.2
317,"San Miguel County, Colorado",56.6,21.0,19.3,3.1
318,"Sedgwick County, Colorado",20.6,42.6,26.2,10.6
319,"Summit County, Colorado",53.6,24.7,15.0,6.8
320,"Teller County, Colorado",35.5,36.7,24.5,3.3
321,"Washington County, Colorado",21.0,39.5,31.8,7.8
322,"Weld County, Colorado",27.6,32.6,27.2,12.6
323,"Yuma County, Colorado",20.6,35.7,30.1,13.6
324,"Connecticut, Connecticut",40.0,24.6,26.3,9.1
325,"Fairfield County, Connecticut",48.9,20.5,20.8,9.8
326,"Hartford County, Connecticut",38.5,25.3,26.2,10.0
327,"Litchfield County, Connecticut",35.9,28.2,29.8,6.2
328,"Middlesex County, Connecticut",42.7,27.0,25.0,5.3
329,"New Haven County, Connecticut",36.0,24.3,30.1,9.7
330,"New London County, Connecticut",34.4,30.0,28.5,7.2
331,"Tolland County, Connecticut",42.4,25.9,26.5,5.2
332,"Windham County, Connecticut",23.7,30.3,35.2,10.9
333,"Delaware, Delaware",32.7,26.9,31.0,9.4
334,"Kent County, Delaware",24.5,30.1,33.3,12.0
335,"New Castle County, Delaware",36.7,25.1,30.4,7.9
336,"Sussex County, Delaware",29.4,28.8,30.8,11.0
337,"District of Columbia, District of Columbia",59.8,15.5,16.6,8.1
338,"District of Columbia, District of Columbia",59.8,15.5,16.6,8.1
339,"Florida, Florida",30.5,29.7,28.2,11.5
340,"Alachua County, Florida",44.1,28.5,20.2,7.2
341,"Baker County, Florida",14.4,28.8,41.8,15.1
342,"Bay County, Florida",24.5,37.0,29.5,9.1
343,"Bradford County, Florida",10.3,27.2,41.5,21.1
344,"Brevard County, Florida",30.9,34.6,26.7,7.8
345,"Broward County, Florida",33.1,29.2,27.0,10.6
346,"Calhoun County, Florida",9.1,26.5,42.3,22.1
347,"Charlotte County, Florida",23.8,33.5,33.4,9.2
348,"Citrus County, Florida",18.9,32.6,38.0,10.5
349,"Clay County, Florida",26.2,36.2,29.7,7.9
350,"Collier County, Florida",35.9,26.1,26.2,11.8
351,"Columbia County, Florida",14.9,33.7,36.4,15.0
352,"DeSoto County, Florida",12.2,18.5,43.7,25.6
353,"Dixie County, Florida",9.5,22.1,48.0,20.4
354,"Duval County, Florida",30.7,31.3,28.1,9.9
355,"Escambia County, Florida",27.2,36.3,26.8,9.6
356,"Flagler County, Florida",25.6,33.3,32.6,8.5
357,"Franklin County, Florida",20.4,24.5,36.1,18.9
358,"Gadsden County, Florida",18.2,26.8,36.5,18.6
359,"Gilchrist County, Florida",12.3,30.3,44.0,13.4
360,"Glades County, Florida",11.5,24.7,35.8,28.1
361,"Gulf County, Florida",23.2,29.5,32.7,14.6
362,"Hamilton County, Florida",8.2,20.6,46.4,24.8
363,"Hardee County, Florida",9.1,18.6,48.4,23.8
364,"Hendry County, Florida",8.2,27.3,33.6,30.9
365,"Hernando County, Florida",19.1,35.5,33.8,11.6
366,"Highlands County, Florida",17.5,30.6,37.2,14.7
367,"Hillsborough County, Florida",34.5,27.3,27.1,11.1
368,"Holmes County, Florida",9.9,26.4,44.0,19.7
369,"Indian River County, Florida",30.6,30.7,28.8,9.9
370,"Jackson County, Florida",12.9,31.0,38.3,17.8
371,"Jefferson County, Florida",23.3,24.8,34.5,17.4
372,"Lafayette County, Florida",9.3,21.9,41.9,26.8
373,"Lake County, Florida",24.4,33.5,32.1,10.0
374,"Lee County, Florida",28.5,29.6,31.2,10.7
375,"Leon County, Florida",46.6,27.7,19.1,6.6
376,"Levy County, Florida",14.1,30.7,41.4,13.8
377,"Liberty County, Florida",13.6,21.0,45.0,20.4
378,"Madison County, Florida",13.8,29.1,37.0,20.1
379,"Manatee County, Florida",30.2,29.3,29.9,10.6
380,"Marion County, Florida",20.7,30.8,36.5,12.0
381,"Martin County, Florida",33.5,32.4,25.6,8.6
382,"Miami-Dade County, Florida",30.7,24.4,26.8,18.2
383,"Monroe County, Florida",35.3,29.0,27.6,8.1
384,"Nassau County, Florida",30.5,28.8,31.9,8.9
385,"Okaloosa County, Florida",32.2,35.3,25.1,7.4
386,"Okeechobee County, Florida",14.3,26.7,38.8,20.2
387,"Orange County, Florida",35.4,29.1,24.1,11.3
388,"Osceola County, Florida",23.2,33.6,29.4,13.9
389,"Palm Beach County, Florida",37.1,27.7,24.0,11.2
390,"Pasco County, Florida",24.6,31.3,34.0,10.1
391,"Pinellas County, Florida",32.5,31.9,27.2,8.4
392,"Polk County, Florida",20.6,31.1,33.7,14.6
393,"Putnam County, Florida",13.6,26.8,42.2,17.4
394,"St. Johns County, Florida",44.5,28.4,21.9,5.2
395,"St. Lucie County, Florida",22.5,32.6,32.2,12.7
396,"Santa Rosa County, Florida",27.3,37.1,27.2,8.5
397,"Sarasota County, Florida",36.4,29.1,27.7,6.8
398,"Seminole County, Florida",41.0,32.9,20.5,5.6
399,"Sumter County, Florida",32.0,29.7,30.5,7.8
400,"Suwannee County, Florida",15.7,25.6,41.2,17.5
401,"Taylor County, Florida",10.8,23.7,46.6,18.9
402,"Union County, Florida",10.5,28.5,37.3,23.7
403,"Volusia County, Florida",24.4,34.8,31.5,9.2
404,"Wakulla County, Florida",18.6,34.3,34.9,12.1
405,"Walton County, Florida",30.0,30.4,28.9,10.7
406,"Washington County, Florida",12.1,27.4,42.6,17.9
407,"Georgia, Georgia",32.2,28.2,27.5,12.1
408,"Appling County, Georgia",9.5,30.2,37.5,22.8
409,"Atkinson County, Georgia",12.2,21.3,34.2,32.3
410,"Bacon County, Georgia",9.3,28.4,44.7,17.6
411,"Baker County, Georgia",21.4,26.4,35.4,16.8
412,"Baldwin County, Georgia",24.3,29.6,32.6,13.5
413,"Banks County, Georgia",15.8,25.8,33.6,24.9
414,"Barrow County, Georgia",20.2,32.1,34.2,13.5
415,"Bartow County, Georgia",19.8,30.6,35.8,13.8
416,"Ben Hill County, Georgia",11.0,26.5,46.1,16.4
417,"Berrien County, Georgia",13.2,25.8,40.6,20.4
418,"Bibb County, Georgia",25.3,30.1,31.0,13.6
419,"Bleckley County, Georgia",17.9,33.1,38.5,10.4
420,"Brantley County, Georgia",6.9,28.0,45.6,19.5
421,"Brooks County, Georgia",16.5,33.6,33.8,16.1
422,"Bryan County, Georgia",33.0,33.9,25.9,7.2
423,"Bulloch County, Georgia",27.6,31.9,28.6,11.8
424,"Burke County, Georgia",14.5,30.5,36.4,18.6
425,"Butts County, Georgia",11.1,27.7,41.3,19.9
426,"Calhoun County, Georgia",11.8,26.7,37.0,24.5
427,"Camden County, Georgia",22.5,37.3,31.9,8.2
428,"Candler County, Georgia",11.4,26.3,40.8,21.6
429,"Carroll County, Georgia",22.1,29.6,33.4,15.0
430,"Catoosa County, Georgia",23.0,33.3,32.5,11.1
431,"Charlton County, Georgia",12.8,25.4,42.0,19.8
432,"Chatham County, Georgia",34.4,31.6,24.1,9.9
433,"Chattahoochee County, Georgia",27.0,36.3,30.9,5.8
434,"Chattooga County, Georgia",9.7,24.2,38.3,27.7
435,"Cherokee County, Georgia",36.9,31.8,23.4,7.9
436,"Clarke County, Georgia",45.4,24.2,19.9,10.5
437,"Clay County, Georgia",16.9,31.9,34.2,17.1
438,"Clayton County, Georgia",19.1,32.3,33.4,15.1
439,"Clinch County, Georgia",10.8,25.2,36.2,27.8
440,"Cobb County, Georgia",48.4,25.8,18.4,7.4
441,"Coffee County, Georgia",12.2,25.1,37.6,25.2
442,"Colquitt County, Georgia",13.7,22.6,38.3,25.4
443,"Columbia County, Georgia",36.5,32.2,24.3,7.0
444,"Cook County, Georgia",15.7,32.2,32.8,19.3
445,"Coweta County, Georgia",33.3,29.9,27.3,9.6
446,"Crawford County, Georgia",10.6,31.2,41.2,16.9
447,"Crisp County, Georgia",13.7,29.2,39.9,17.3
448,"Dade County, Georgia",15.8,29.1,36.6,18.5
449,"Dawson County, Georgia",33.6,28.3,26.3,11.7
450,"Decatur County, Georgia",14.0,32.3,36.5,17.1
451,"DeKalb County, Georgia",45.6,24.1,20.6,9.7
452,"Dodge County, Georgia",15.3,29.1,41.3,14.3
453,"Dooly County, Georgia",12.9,25.5,42.0,19.5
454,"Dougherty County, Georgia",22.2,32.9,29.3,15.6
455,"Douglas County, Georgia",28.1,29.7,29.9,12.3
456,"Early County, Georgia",13.7,28.8,38.5,19.0
457,"Echols County, Georgia",7.8,22.0,47.0,23.1
458,"Effingham County, Georgia",23.9,27.7,37.8,10.6
459,"Elbert County, Georgia",11.8,25.9,41.1,21.2
460,"Emanuel County, Georgia",11.4,24.9,43.0,20.8
461,"Evans County, Georgia",16.1,22.1,38.8,23.0
462,"Fannin County, Georgia",22.1,31.7,34.2,12.0
