,Name,Crime_rate
86,"Tulsa County, Oklahoma",719.1412721
87,"Putnam County, Florida",717.8582747
88,"Jefferson County, Texas",710.8948399
89,"Ohio County, West Virginia",706.6572141
90,"San Francisco County, California",701.4217104
91,"Bamberg County, South Carolina",699.9351912
92,"Merced County, California",696.3544912
93,"Harris County, Texas",696.1038338
94,"Jim Wells County, Texas",695.7773512
95,"Oklahoma County, Oklahoma",694.8738489
96,"McKinley County, New Mexico",694.3307688
97,"Mississippi County, Missouri",693.1802269
98,"Alpine County, California",690.2502157
99,"Calhoun County, Georgia",689.8666258
100,"Dyer County, Tennessee",688.2474551
101,"Clark County, Nevada",685.153077
102,"Guadalupe County, New Mexico",681.1689739
103,"San Juan County, New Mexico",675.0828044
104,"Fairfield County, South Carolina",675.0616643
105,"McDonald County, Missouri",673.8186009
106,"Taylor County, Florida",673.754211
107,"Wayne County, Georgia",668.2847358
108,"East Baton Rouge Parish, Louisiana",667.0754469
109,"Leon County, Florida",664.1948589
110,"Lander County, Nevada",663.1299735
111,"Orange County, Florida",662.6310837
112,"Leflore County, Mississippi",661.2459265
113,"Essex County, New Jersey",659.9836619
114,"Peach County, Georgia",658.9175983
115,"Burke County, Georgia",658.7270427
116,"Hamilton County, Tennessee",658.496643
117,"Miami-Dade County, Florida",656.0124348
118,"Columbia County, Florida",654.3979391
119,"Crockett County, Tennessee",651.0862861
120,"Lenoir County, North Carolina",650.100146
121,"Hempstead County, Arkansas",649.6395835
122,"Hutchinson County, Texas",646.2257665
123,"Richmond city, Virginia",644.9835135
124,"Jefferson Davis County, Mississippi",644.4593237
125,"Conecuh County, Alabama",644.0599053
126,"Morehouse Parish, Louisiana",639.3909155
127,"Early County, Georgia",635.553026
128,"Henderson County, Tennessee",634.6263548
129,"Richmond County, New York",634.123325
130,"New York County, New York",634.0093435
131,"Jefferson County, Illinois",633.9923403
132,"Bronx County, New York",632.0428157
133,"Queens County, New York",630.3962024
134,"Kings County, New York",630.2492642
135,"Warren County, Georgia",629.7229219
136,"Nash County, North Carolina",628.8580653
137,"Lauderdale County, Tennessee",626.0118726
138,"Cocke County, Tennessee",625.7222582
139,"Bowie County, Texas",622.5464503
140,"Hampton County, South Carolina",622.3049784
141,"Hendry County, Florida",621.814203
142,"Duval County, Florida",621.5464156
143,"Durham County, North Carolina",621.2408853
144,"Greene County, Missouri",620.7066615
145,"Jefferson County, Florida",619.9802734
146,"Escambia County, Alabama",618.6978385
147,"Horry County, South Carolina",617.6419817
148,"Nueces County, Texas",616.5739392
149,"Sedgwick County, Kansas",615.5337693
150,"Edgecombe County, North Carolina",615.3956886
151,"Montgomery County, Kansas",615.303861
152,"Caddo Parish, Louisiana",614.7822368
153,"Graham County, Arizona",613.6278747
154,"Madera County, California",612.9051309
